,Sentence,Polarity_Classification
2745,o lo sono solo i maschi americani?,Neutra
2746,"Quando ho saputo che gli autori di Microcosmos avevano in serbo un nuovo ""documentario-film"" mi son detto: non vedo l'ora che esca!",Neutra
2747,"Lunedì e viene spinto dal suo maggiordomo, Starnuto",Neutra
2748,"la trama del film è pressochè inesistente ed è incentrata sul susseguirsi di combattimenti tra ""il professore"" (come viene chiamato dall'inizio alla fine dai cattivi con inspiegabile veemenza del doppiaggio) e gli esponenti di un cartello della droga cinese.",Negativa
2749,È un peccato perché penso che l'autore abbia creato in questa storia un'opera che sarebbe potuta diventare un'epopea classica all'interno del genere,Negativa
2750,Mister Monday è un ottimo libro e lo consiglio vivamente,Positiva
2751,Ottima l'interpretazione dei due attori ( non mi intendo di cinema ma solo di pallacanestro ).,Positiva
2752,"Capolavoro Ho imparato ad amare l'animazione proprio vedendo princess mononoke...è in assoluto uno tra i più bei film d'animazione in assoluto...volevo dire a gualtiero da sondrio che ha giudicato questo film pessimo un po' di cose:il film,innanzitutto non è affatto per bambini;se è lei così superficiale da giudicare l'animazione come intrattenimento per bambini,peggio per lei:non sa cosa si perde.i disagni sono in stile heidi perchè il regista di princess mononoke (che,tra l'altro riceverà a venezia il leone d'oro alla carriera e già premiato con un orso d'oro a berlino e con l'oscar con il suo capolavoro:la città incantata)è lo stesso disegnatore che ha realizzato la mitica pastorella svizzera.poi,non può dire che il questo film sia ipocrita visto che miyazaki ci tiene molto al problema ecologico e ha ricevuto pure un premio dal wwf per nausicaa.io non paragonerei  i film commerciali usa con quelli giapponesi:certo,di robaccia giapponese ce n'è anche troppa sul mercato...ma film come questi non vanno sottovalutati nè presi alla leggera:noi italiani siamo cresciuti con una cultura disneyiana:se nei cartoni animati non vediamo topini ed animaletti che parlano ci sentiamo disorientati...poi miyazaki non vuole specificare appositamente le figure del buonoe del cattivo proprio perchè il regista giapponese non distingue tra uomini buoni e non:siamo tutti esseri umani che sbagliamo e capiamo i nostri errori:questa bellissima morale non è presente nella disney:un'altra prova dell'anacronismo ed infantilismo dei cartoon disney.poi,ultima cosa,ho visto totò sapore:se se lo vuole vedere,faccia pure:continui a vedersi le cavolate made in usa e lasci gustare, a chi se ne intendem, i capolavori animati che non devono essere per forza solo quelli della disney...",Positiva
2753,Riflettete!!!,Neutra
2754,Consiglio di guardarlo in compagnia per gli amanti del genere.,Positiva
2755,Fracassone Woody Allen girerebbe un film così adesso?,Neutra
2756,"Jim carrey straordinario, ritmo indiavolato... da vedere!!!",Positiva
2757,Cosa che ovviamente NON può succedere o non avremmo questa grande serie,Positiva
2758,"Che film orribile!Senza ritmo, senza coinvolgimento, senza messaggi chiari (sì, perchè a chi ne vede uno di esplicito o per lo meno accennato in maniera adeguata me lo deve far sapere!Non potete dirmi che è stata espressa bene l'arroganza degli inglesi!",Negativa
2759,"Quando il burattinaio scopre di essere un burattino... Dico subito che il finale ""tarallucci e vino e volemose bene"" non mi ha convinto molto, come già hanno sottolineato altri prima di me... non che sia per forza allergico all'happy end, ma in un film così ""cupo"" come ""Il tredicesimo piano"" il lieto fine stona parecchio, anche se in fondo ci può stare e lo si può perdonare seguendo la logica della storia, vedendo lo scambio dell'utente Vincent D'Onofrio (al solito bravissimo) con il suo ""avatar"" al momento della morte.",Neutra
2760,Ridicolo Sottospecie di film di serie B; manca la fantasia comica e in quasi tutte le occasione gli stessi tempi comici.,Negativa
2761,I personaggi erano fantastici e pieni di vita,Positiva
2762,"Come al solito si cimenta in scene di erotismo, ma fatte insieme al zoofilo pure lei perde fascino.",Negativa
2763,"Saw 4 Neppure io riesco pienamente a spiegarmi come mai questi film della serie dell'enigmista mi attraggano sempre, trovandoli ogni volta geniali ed affascinanti, nonostante la trama poco credibile e la recitazione sempre scricchiolante.",Negativa
2764,Angela e Diabola è uno dei miei libri preferiti in assoluto,Neutra
2765,"Arthur sembra fare una smorfia piuttosto su come è stato costretto a correre il percorso campestre, anche se si era appena ripreso da una situazione di quasi morte, a causa della sua scelta di ignorare l'uso del suo inalatore",Neutra
2766,Sono anche entrambi anziani al liceo,Neutra
2767,Forse si è lasciato troppo spazio a pezzi di storia che potevano essere trascurati.,Negativa
2768,Le chiavi e il sig,Neutra
2769,"sto film è da favola!è vero ke i mitici articolo nn sono attori d professione ma secondo me se la sono cavata molto bene..facendo capire alla gente ke ha avuto la fortuna d guardare sto film com'è la vita dei ragazzi d periferia..tra discoteke,musica,qlke buko d troppo x mosè,cazzilli(scooter)rubati,lavoro e ragazze d cui si xde la testa..sono un seguace degli articolo da molti anni ormai e nn me ne pento x niente!..complimenti anke x l'ultimo cd(d sana pianta..fantastico anke se forse nn è più il rap d 10 anni fa).andate così belli ke va bene..sempre e cmq SF..mò me la fumo zio!",Positiva
2770,"questo film ha la trama più banale della storia, è una lista interminabile di luoghi comuni sulle persone di colore, sul mondo dello showbiz, sulla danza stessa.",Negativa
2771,Conquista la sincerità in quest'opera prima densa di spunti non banali.,Positiva
2772,"per molto tempo, il libro non è stato molto interessante",Negativa
2773,Bisio for president Incredibile come una commedia renda in modo cosi' reale e purtroppo cruda la nostra politica.,Positiva
2774,No perkè qui lo fa eccome!!,Neutra
2775,"Una favola moderna a lieto fine, narrata però sullo  sfondo di un tema molto attuale e complesso,  quello dell integrazione di popoli diversi,  difficile  ma possibile, almeno nel film",Positiva
2776,Questo fa si che l'attenzione di chi osserva ricada sul tipo di sensazioni che il regista riesce a farci provare piuttosto che sul messaggio che vuole veicolare.,Positiva
2777,Questo è stato uno dei migliori libri che ho letto e incoraggio altre persone a leggerlo,Positiva
2778,Ora deve andare a scuola a metà anno,Neutra
2779,... pena de morte.,Neutra
2780,"Chi non vorrebbe sapere cosa accadde ai nostri parenti a quel tempo?Il famoso zio/zia emigrato c'è in ogni famiglia e il vedere filmati d'epoca inseriti tra le ricostruzioni in studio riporta la mente e fantasia a quel tempo.Se poi qualcuno, come me, è stato a S.paulo non potrà certo sottrarsi al piacere voyeuristico di spiare cosa sarebbe potuto accadere un tempo nella, ormai troppo globalizzata, avenida paulista.",Positiva
2781,Come possa aver avuto tutto questo successo di pubblico in Francia è un mistero e ancor più vincere a Cannes.,Negativa
2782,"Pensieri, inquietudini e desideri affolano le menti dei cittadini di Berlino ed emergono attraverso lo sguardo degli angeli:la ricerca disperata di qualcosa, che si pensa di trovare forse in un nuovo amore, in un lavoro, ma che forse è soltanto desiderio di catturare il senso della vita.",Neutra
2783,"Naturalmente, se la sua copertura salta, la sua vita sarà in pericolo imminente",Neutra
2784,"Davvero un flop, lasciate perdere, sconsigliato.",Negativa
2785,"Tuttavia, ho riconosciuto un notevole talento nel raccontare storie e sospettavo che mi sarebbe davvero piaciuto questo autore con un argomento diverso",Positiva
2786,"Mah, delusione Sarà, ma a me non ha per niente convinto, non sono proprio riuscito a trovare tutte quell'emozioni di cui avete scritto voi con tanto entusiasmo, e ne sono rimasto completamente deluso.",Negativa
2787,"Non solo Il significato della moglie è pieno di ricerche originali, ma si riempie anche di significato! Non so dirti quante volte ho tirato indietro questo libro DALLO SCAFFALE da quando l'ho messo lì qualche settimana fa dopo averlo finito",Positiva
2788,"Tuttavia, penso che la fascia di età consigliata (4-6) sia un po' bassa",Negativa
2789,"' Volevo scoprire come è andata a finire, quindi, nonostante tutte le critiche, penso che probabilmente funzioni per l'adolescente che non ha già letto tutto nel genere",Positiva
2790,"Sfortunatamente, la Volontà ha inconsapevolmente chiesto aiuto",Neutra
2791,Scary Movie è tutta un'altra cosa.,Neutra
2792,decide quindi di riparare a tutti gli errori che ha compiuto e fa una lista delle cose che deve rimediare.,Neutra
2793,"&lt;br&gt; &lt;br&gt;Le amiche Maggie e Liz non sono molto vicine, ma escono spesso insieme",Neutra
2794,"Riccardo Pazzaglia avrebbe agitato la mano in terra esclamando: ""il livello è basso"".",Negativa
2795,McDermid non tira pugni per iscritto su psicopatici viziosi che commettono crimini sessuali e i libri potrebbero essere inquietanti per molti,Neutra
2796,voto : - 10 Scontato e volgare.Peccato che il voto minimo sia 1!!!,Negativa
2797,"Un bel cast, una bella trama, credo che sia carino!!!!!!",Positiva
2798,"Aurther ha una forte asma, che lo porta abbastanza spesso in ospedale",Negativa
2799,"?Mah, vabbè",Neutra
2800,Colpisce in egual misura sia la chiesa (cattolica) che la società irlandese senza prenderla troppo sul serio,Negativa
2801,"Film ingiustamente catalogato come thriller, scende nella dinamica dei rapporti di coppia con grande attenzione e precisione.",Positiva
2802,"Mi sono sentito coinvolto dal momento, dal taglio della pellicola, dai dialoghi, come non mi capitava da tempo.",Positiva
2803,"Il libro di Boryk è molto più facilmente assorbibile di Tseitlin &amp; Glaskov, Budapest per il Giocatore del Torneo, con le sue variazioni e trasposizioni da capogiro",Positiva
2804,"E mentre la pellicola scorre e gli avvenimenti si succedono, ci si chiede con quanta dose di ironia e quanta serietà, vada preso questo film che, a partire dalla prima scena e passando per la colonna sonora, pare più caricaturale che un ritratto fedele di corte (...e continuo a chiedermi come abbiano fatto a piovere tutti questi premi...).",Negativa
2805,"Un bel film, un'ottima fotografia.",Positiva
2806,"Bisogna dire che il fatto che la ""fiaba incontri la telecamera"" è un idea abbastanza buona però, come tutti i film di questo tipo, la fiaba non rispecchia fedelmente l'intreccio della fiaba e cambiando il film con un finale abbastanza buono.",Negativa
2807,Questo è orrendo...,Negativa
2808,"Il tutto mai concitato, ma sempre sussurrato (com'è lontano il cinema di D'Alatri da quello di Muccino).",Neutra
2809,Ma poi di nuovo Zindel è così al di sopra degli altri scrittori che consiglierei comunque di leggere il romanzo,Positiva
2810,La sceneggiatura poteva essere meno scontata.,Negativa
2811,ma dico stiamo scherzando?,Negativa
2812,Il film è del 1942.,Neutra
2813,"Sebbene questa serie sia diversa dalle precedenti due serie di Garth Nix, è ancora all'altezza delle mie aspettative di essere misteriosa e strana",Positiva
2814,"Piacerà o non piacerà, l'atmosfera in cui ci cala il film di Franco Angeli è viva,palpabile.",Positiva
2815,Credo che questo sia il meglio del meglio,Positiva
2816,Cosa posso dire che non sia stato detto prima? I misteri psicologici di McDermid sono assolutamente geniali,Neutra
2817,"Sul fronte interno, Jack è sposato con una donna che, proprio come in tutte le migliori storie noir del dopoguerra, non è quello che sembra",Neutra
2818,"battute al vetriolo, situazioni direi discretamente aderenti alla realtà (a parte qualche svarione stile ""americanata""), un modo di girare non noioso e soprattutto l'assenza del necessario lieto fine con applausi che spesso rovina i film di questo genere.",Positiva
2819,'Turbulent Priests' è fresco e divertente,Positiva
2820,Cosa conterra' quella piccola scatola ancora sporca di terra?,Neutra
2821,Consiglio questo libro a chi si trova in situazioni che,Positiva
2822,"Sembrava un po' giovane per me, ma dato che mi piace così tanto Garth Nix, ho deciso di provarlo",Positiva
2823,non c'è storia zio!!,Negativa
2824,"hehe   lo consiglio veramente a tutti, soprattutto alle ragazze pazze per il meravoglioso, affascinante, bellissimo e mozzafiato heat ledger!!!!",Positiva
2825,"Solo con Blade Runner e Minority Report ci sono riusciti...  USA, 1990",Neutra
2826,Il film va visto per fare due risate.,Neutra
2827,Marshall ti porta in un giro sulle montagne russe di emozioni,Neutra
