,Sentence,Polarity_Classification
1008,Cuthburtson-Joneses (the mother) having some sort of unrealized power that never was explored or expanded,Neutra
1009,"The book relates, with common sense and humor, instructions given early Americans on proper table manners, conversation and correspondence, dress, behavior in the drawing room and in public places, and it includes a special, more intimate section - ""For Womankind""",Positiva
1010,It also has a little bit of religion questioning,Neutra
1011,"According to the back cover, the next book is apparently NEVER SURRENDER",Neutra
1012,I have no idea if it was only my book with this problem,Negativa
1013,Recommended for all people young and old who love adventure stories,Positiva
1014,Diabola becomes mad and uses her powers to make their eyes sting,Negativa
1015,Nix's previous work,Neutra
1016,"One Marshall is worth several dozen Greg Ileses, a bushel of Patricia Cornwalls, a thousand Gregggg Hurwitzes, a million Dean Koontzes and a number that defies notation of the mind blastingly insipid Kyle Mills",Positiva
1017,"Kingston does a great job of weaving together pop culture and history, and she's a fun writer",Positiva
1018,"5) As much as the storylines are resolved, the resolution was also satisfactory and didn't make me feel cheated or the author tried too hard or too little to provide a satisfying ending",Neutra
1019,terrifying reading,Positiva
1020,Even  though this book is mainy aim at teenagers in American cultureparents and  others culture can relate to them,Positiva
1021,I loved it because Diabola asking for money and sending away those 2 people with the invisibe gun that shot 1 of them away,Positiva
1022,"In his first two chapters, Gellner focuses in on what might be called the modern predicament",Neutra
1023,Then comes Diabola,Neutra
1024,"As a fan of Nix's previous series, the Abhorsen Triology, and The Seventh Tower, as a teen I looked towards his new budding series, shortly after its publication",Neutra
1025,"And Guterson knows from the  start what his protagonist learns in painful increments: that ""a neat,  uncomplicated end"" doesn't exist on either side of the mountains",Neutra
1026,"In this case, there is a serial killer on the loose across Europe who seems to be targeting psychologists by replicating atrocities performed during the reign of the Nazi's in Germany",Neutra
1027,I loved this book it was very good,Positiva
1028,"It is a true heaven to those who love fantasy adventure  novels, the rough story is as follows:",Positiva
1029,"There are a couple of add-on chapters that seem a bit out of place, concerning flora and fauna",Negativa
1030,"In this  installment, MacDonald turns the tables and has good ol' boy Skylar venture  north to visit the very rich Whitfields, where he is, yes, a fish out of  water",Neutra
1031,Then there was a big fire that Noon started trying to get the key,Neutra
1032,"Maggie and Dennis  weren't all that romantic and close,but they were the strongest characters",Positiva
1033,I  suggest this book should be read by 7 years olds and up,Neutra
1034,I liked the glowing clock hands and the fog with the creepy things standing in it,Positiva
1035,"Despite some minor flaws such as once-established character names changing possibly due to fautly editing and printing, this is in my opinion a great book for several reasons I can't really get into right now other than the  giant Dragonflys of the Planet Pandora is such a cool and crazy aspect of  the book and the story of the mystery of the hind leg is completely wild  and that the Strugatsky's are funny as hell",Positiva
1036,Kingston's book begins with a description of Prince Charles' and Princess Di's wedding and sort of stays there,Neutra
1037,Pretty boring book,Negativa
1038,Monday are intriguing concepts,Neutra
1039,"It was a real story about a real boy in an exciting, intriguing situation",Positiva
1040,"There is no doubt that the book is geared to women of the upper middle class, highly educated and consumers of various media depicting roles for women",Positiva
1041,"Suck as when there is a fire in the library, he goes to a locked door, but the key gets it open for him",Neutra
1042,"It certainly sounds simple enough, but this novel is anything but simple",Positiva
1043,"I can definitely see the connects between Mister Monday and these other series, but there is little else there besides the fact that Mister Monday is a somewhat dark, young adult fantasy novel",Positiva
1044,After reading several pages I relented and purchased Mister Monday,Neutra
1045,"She feels betrayed and used when she discovers that she is the ""twin"" image of Katerina Basler, Tadisck's lover who was killed in a mysterious hit and run accident",Neutra
1046,And it's an exciting story that holds your interest until the end,Positiva
1047,"Garth Nix's ""Mister Monday"" begins a brand new fantasy series in the ""Keys to the Kingdom"" series",Neutra
1048,Hercules Poirot is a person that you never really get hold of during the story,Neutra
